,segmentation,area,iscrowd,image_id,bbox,category_id,id,ignore
37,"[[268, 187, 268, 259, 295, 259, 295, 187]]",1944,0,66,"[268, 187, 27, 72]",15,38,0
38,"[[120, 142, 120, 460, 375, 460, 375, 142]]",81090,0,73,"[120, 142, 255, 318]",16,39,0
39,"[[1, 153, 1, 459, 64, 459, 64, 153]]",19278,0,73,"[1, 153, 63, 306]",16,40,0
40,"[[269, 154, 269, 331, 375, 331, 375, 154]]",18762,0,73,"[269, 154, 106, 177]",4,41,0
41,"[[21, 142, 21, 500, 146, 500, 146, 142]]",44750,0,73,"[21, 142, 125, 358]",15,42,0
42,"[[239, 0, 239, 333, 500, 333, 500, 0]]",86913,0,77,"[239, 0, 261, 333]",8,43,0
43,"[[1, 0, 1, 333, 306, 333, 306, 0]]",101565,0,77,"[1, 0, 305, 333]",8,44,0
44,"[[14, 74, 14, 412, 475, 412, 475, 74]]",155818,0,78,"[14, 74, 461, 338]",12,45,0
45,"[[93, 40, 93, 238, 437, 238, 437, 40]]",68112,0,78,"[93, 40, 344, 198]",12,46,0
46,"[[108, 32, 108, 309, 447, 309, 447, 32]]",93903,0,83,"[108, 32, 339, 277]",7,47,0
47,"[[379, 1, 379, 135, 435, 135, 435, 1]]",7504,0,83,"[379, 1, 56, 134]",15,48,0
48,"[[137, 13, 137, 115, 193, 115, 193, 13]]",5712,0,83,"[137, 13, 56, 102]",15,49,0
49,"[[0, 19, 0, 204, 75, 204, 75, 19]]",13875,0,83,"[0, 19, 75, 185]",15,50,0
50,"[[59, 47, 59, 156, 114, 156, 114, 47]]",5995,0,83,"[59, 47, 55, 109]",15,51,0
51,"[[31, 50, 31, 162, 83, 162, 83, 50]]",5824,0,83,"[31, 50, 52, 112]",15,52,0
52,"[[19, 6, 19, 355, 183, 355, 183, 6]]",57236,0,89,"[19, 6, 164, 349]",15,53,0
53,"[[97, 214, 97, 374, 429, 374, 429, 214]]",53120,0,89,"[97, 214, 332, 160]",15,54,0
54,"[[331, 139, 331, 366, 455, 366, 455, 139]]",28148,0,89,"[331, 139, 124, 227]",15,55,0
55,"[[21, 50, 21, 291, 317, 291, 317, 50]]",71336,0,89,"[21, 50, 296, 241]",9,56,0
56,"[[124, 240, 124, 284, 195, 284, 195, 240]]",3124,0,91,"[124, 240, 71, 44]",7,57,0
57,"[[80, 247, 80, 268, 105, 268, 105, 247]]",525,0,91,"[80, 247, 25, 21]",7,58,0
58,"[[90, 249, 90, 274, 126, 274, 126, 249]]",900,0,91,"[90, 249, 36, 25]",7,59,0
59,"[[402, 109, 402, 265, 500, 265, 500, 109]]",15288,0,104,"[402, 109, 98, 156]",20,60,0
60,"[[290, 74, 290, 333, 442, 333, 442, 74]]",39368,0,104,"[290, 74, 152, 259]",15,61,0
61,"[[1, 6, 1, 333, 283, 333, 283, 6]]",92214,0,104,"[1, 6, 282, 327]",15,62,0
62,"[[69, 173, 69, 328, 277, 328, 277, 173]]",32240,0,112,"[69, 173, 208, 155]",12,63,0
63,"[[286, 161, 286, 198, 316, 198, 316, 161]]",1110,0,112,"[286, 161, 30, 37]",9,64,0
64,"[[35, 19, 35, 474, 430, 474, 430, 19]]",179725,0,122,"[35, 19, 395, 455]",8,65,0
65,"[[69, 201, 69, 500, 255, 500, 255, 201]]",55614,0,129,"[69, 201, 186, 299]",2,66,0
66,"[[250, 241, 250, 500, 334, 500, 334, 241]]",21756,0,129,"[250, 241, 84, 259]",2,67,1
67,"[[0, 143, 0, 436, 67, 436, 67, 143]]",19631,0,129,"[0, 143, 67, 293]",2,68,1
68,"[[0, 0, 0, 363, 66, 363, 66, 0]]",23958,0,129,"[0, 0, 66, 363]",15,69,1
69,"[[73, 0, 73, 462, 272, 462, 272, 0]]",91938,0,129,"[73, 0, 199, 462]",15,70,0
70,"[[251, 18, 251, 487, 334, 487, 334, 18]]",38927,0,129,"[251, 18, 83, 469]",15,71,0
71,"[[72, 17, 72, 500, 406, 500, 406, 17]]",161322,0,133,"[72, 17, 334, 483]",15,72,0
72,"[[134, 226, 134, 500, 338, 500, 338, 226]]",55896,0,133,"[134, 226, 204, 274]",13,73,0
73,"[[21, 0, 21, 101, 75, 101, 75, 0]]",5454,0,133,"[21, 0, 54, 101]",15,74,1
74,"[[41, 57, 41, 104, 137, 104, 137, 57]]",4512,0,133,"[41, 57, 96, 47]",13,75,1
75,"[[0, 114, 0, 330, 487, 330, 487, 114]]",105192,0,134,"[0, 114, 487, 216]",7,76,0
76,"[[5, 55, 5, 285, 154, 285, 154, 55]]",34270,0,138,"[5, 55, 149, 230]",15,77,0
77,"[[144, 57, 144, 258, 283, 258, 283, 57]]",27939,0,138,"[144, 57, 139, 201]",15,78,0
78,"[[223, 53, 223, 332, 440, 332, 440, 53]]",60543,0,138,"[223, 53, 217, 279]",15,79,0
79,"[[362, 95, 362, 332, 500, 332, 500, 95]]",32706,0,138,"[362, 95, 138, 237]",15,80,0
80,"[[106, 145, 106, 300, 386, 300, 386, 145]]",43400,0,140,"[106, 145, 280, 155]",12,81,0
81,"[[1, 112, 1, 401, 500, 401, 500, 112]]",144211,0,140,"[1, 112, 499, 289]",18,82,0
82,"[[24, 52, 24, 399, 418, 399, 418, 52]]",136718,0,141,"[24, 52, 394, 347]",3,83,0
83,"[[32, 104, 32, 146, 65, 146, 65, 104]]",1386,0,147,"[32, 104, 33, 42]",9,84,0
84,"[[76, 113, 76, 149, 114, 149, 114, 113]]",1368,0,147,"[76, 113, 38, 36]",9,85,0
85,"[[145, 124, 145, 150, 175, 150, 175, 124]]",780,0,147,"[145, 124, 30, 26]",9,86,0
86,"[[226, 131, 226, 154, 247, 154, 247, 131]]",483,0,147,"[226, 131, 21, 23]",9,87,1
87,"[[301, 126, 301, 153, 327, 153, 327, 126]]",702,0,147,"[301, 126, 26, 27]",9,88,1
88,"[[372, 120, 372, 153, 402, 153, 402, 120]]",990,0,147,"[372, 120, 30, 33]",9,89,0
89,"[[434, 111, 434, 149, 465, 149, 465, 111]]",1178,0,147,"[434, 111, 31, 38]",9,90,0
90,"[[236, 146, 236, 191, 358, 191, 358, 146]]",5490,0,153,"[236, 146, 122, 45]",7,91,0
91,"[[137, 55, 137, 70, 166, 70, 166, 55]]",435,0,153,"[137, 55, 29, 15]",7,92,1
92,"[[46, 113, 46, 125, 118, 125, 118, 113]]",864,0,153,"[46, 113, 72, 12]",7,93,1
93,"[[2, 108, 2, 122, 64, 122, 64, 108]]",868,0,153,"[2, 108, 62, 14]",7,94,1
94,"[[58, 75, 58, 266, 367, 266, 367, 75]]",59019,0,154,"[58, 75, 309, 191]",4,95,0
95,"[[440, 192, 440, 213, 458, 213, 458, 192]]",378,0,154,"[440, 192, 18, 21]",4,96,1
96,"[[233, 47, 233, 124, 286, 124, 286, 47]]",4081,0,159,"[233, 47, 53, 77]",15,97,0
97,"[[0, 15, 0, 333, 498, 333, 498, 15]]",158364,0,159,"[0, 15, 498, 318]",7,98,0
98,"[[103, 33, 103, 390, 446, 390, 446, 33]]",122451,0,161,"[103, 33, 343, 357]",7,99,0
99,"[[67, 194, 67, 288, 121, 288, 121, 194]]",5076,0,161,"[67, 194, 54, 94]",7,100,0
100,"[[305, 226, 305, 299, 380, 299, 380, 226]]",5475,0,162,"[305, 226, 75, 73]",20,101,0
101,"[[195, 142, 195, 369, 309, 369, 309, 142]]",25878,0,162,"[195, 142, 114, 227]",15,102,0
102,"[[51, 21, 51, 328, 308, 328, 308, 21]]",78899,0,163,"[51, 21, 257, 307]",15,103,0
103,"[[25, 107, 25, 396, 456, 396, 456, 107]]",124559,0,163,"[25, 107, 431, 289]",14,104,0
104,"[[113, 153, 113, 348, 369, 348, 369, 153]]",49920,0,164,"[113, 153, 256, 195]",14,105,0
105,"[[291, 48, 291, 370, 446, 370, 446, 48]]",49910,0,164,"[291, 48, 155, 322]",15,106,0
106,"[[0, 289, 0, 407, 128, 407, 128, 289]]",15104,0,171,"[0, 289, 128, 118]",12,107,0
107,"[[93, 20, 93, 491, 375, 491, 375, 20]]",132822,0,171,"[93, 20, 282, 471]",15,108,0
108,"[[105, 63, 105, 297, 270, 297, 270, 63]]",38610,0,173,"[105, 63, 165, 234]",15,109,0
109,"[[108, 63, 108, 464, 288, 464, 288, 63]]",72180,0,173,"[108, 63, 180, 401]",13,110,0
110,"[[142, 4, 142, 333, 426, 333, 426, 4]]",93436,0,174,"[142, 4, 284, 329]",15,111,0
111,"[[0, 94, 0, 336, 240, 336, 240, 94]]",58080,0,187,"[0, 94, 240, 242]",20,112,0
112,"[[64, 38, 64, 346, 459, 346, 459, 38]]",121660,0,189,"[64, 38, 395, 308]",3,113,0
113,"[[115, 63, 115, 375, 356, 375, 356, 63]]",75192,0,192,"[115, 63, 241, 312]",15,114,0
114,"[[1, 211, 1, 375, 49, 375, 49, 211]]",7872,0,192,"[1, 211, 48, 164]",9,115,1
115,"[[79, 3, 79, 375, 500, 375, 500, 3]]",156612,0,193,"[79, 3, 421, 372]",15,116,0
116,"[[0, 28, 0, 375, 227, 375, 227, 28]]",78769,0,193,"[0, 28, 227, 347]",15,117,0
117,"[[1, 124, 1, 375, 500, 375, 500, 124]]",125249,0,193,"[1, 124, 499, 251]",18,118,1
118,"[[85, 35, 85, 224, 239, 224, 239, 35]]",29106,0,194,"[85, 35, 154, 189]",13,119,0
119,"[[114, 18, 114, 136, 203, 136, 203, 18]]",10502,0,194,"[114, 18, 89, 118]",15,120,0
120,"[[278, 76, 278, 132, 298, 132, 298, 76]]",1120,0,194,"[278, 76, 20, 56]",15,121,0
121,"[[159, 133, 159, 239, 286, 239, 286, 133]]",13462,0,198,"[159, 133, 127, 106]",19,122,0
122,"[[27, 18, 27, 167, 103, 167, 103, 18]]",11324,0,200,"[27, 18, 76, 149]",15,123,0
123,"[[15, 53, 15, 249, 178, 249, 178, 53]]",31948,0,200,"[15, 53, 163, 196]",15,124,0
124,"[[146, 22, 146, 249, 245, 249, 245, 22]]",22473,0,200,"[146, 22, 99, 227]",15,125,0
125,"[[226, 18, 226, 249, 400, 249, 400, 18]]",40194,0,200,"[226, 18, 174, 231]",15,126,0
126,"[[390, 12, 390, 249, 500, 249, 500, 12]]",26070,0,200,"[390, 12, 110, 237]",15,127,0
127,"[[363, 211, 363, 249, 389, 249, 389, 211]]",988,0,200,"[363, 211, 26, 38]",5,128,0
128,"[[230, 144, 230, 210, 260, 210, 260, 144]]",1980,0,200,"[230, 144, 30, 66]",5,129,0
129,"[[0, 204, 0, 320, 113, 320, 113, 204]]",13108,0,207,"[0, 204, 113, 116]",6,130,0
130,"[[13, 75, 13, 375, 400, 375, 400, 75]]",116100,0,209,"[13, 75, 387, 300]",8,131,0
131,"[[119, 332, 119, 464, 310, 464, 310, 332]]",25212,0,219,"[119, 332, 191, 132]",14,132,0
132,"[[39, 126, 39, 292, 464, 292, 464, 126]]",70550,0,220,"[39, 126, 425, 166]",7,133,0
133,"[[426, 113, 426, 167, 500, 167, 500, 113]]",3996,0,220,"[426, 113, 74, 54]",7,134,0
134,"[[264, 146, 264, 187, 312, 187, 312, 146]]",1968,0,220,"[264, 146, 48, 41]",15,135,0
135,"[[177, 215, 177, 326, 303, 326, 303, 215]]",13986,0,222,"[177, 215, 126, 111]",11,136,0
136,"[[249, 236, 249, 375, 362, 375, 362, 236]]",15707,0,222,"[249, 236, 113, 139]",15,137,0
137,"[[113, 235, 113, 375, 227, 375, 227, 235]]",15960,0,222,"[113, 235, 114, 140]",15,138,0
138,"[[220, 222, 220, 266, 235, 266, 235, 222]]",660,0,222,"[220, 222, 15, 44]",5,139,0
139,"[[233, 212, 233, 256, 245, 256, 245, 212]]",528,0,222,"[233, 212, 12, 44]",5,140,0
140,"[[340, 148, 340, 216, 376, 216, 376, 148]]",2448,0,222,"[340, 148, 36, 68]",15,141,0
141,"[[157, 190, 157, 221, 185, 221, 185, 190]]",868,0,222,"[157, 190, 28, 31]",15,142,0
142,"[[158, 176, 158, 230, 206, 230, 206, 176]]",2592,0,222,"[158, 176, 48, 54]",15,143,0
143,"[[251, 177, 251, 228, 311, 228, 311, 177]]",3060,0,222,"[251, 177, 60, 51]",15,144,0
144,"[[290, 192, 290, 241, 332, 241, 332, 192]]",2058,0,222,"[290, 192, 42, 49]",15,145,0
145,"[[317, 208, 317, 330, 373, 330, 373, 208]]",6832,0,222,"[317, 208, 56, 122]",15,146,0
146,"[[99, 205, 99, 342, 170, 342, 170, 205]]",9727,0,222,"[99, 205, 71, 137]",15,147,0
147,"[[443, 282, 443, 375, 500, 375, 500, 282]]",5301,0,222,"[443, 282, 57, 93]",15,148,0
148,"[[365, 242, 365, 375, 394, 375, 394, 242]]",3857,0,222,"[365, 242, 29, 133]",9,149,0
149,"[[366, 216, 366, 269, 390, 269, 390, 216]]",1272,0,222,"[366, 216, 24, 53]",9,150,1
150,"[[124, 95, 124, 263, 355, 263, 355, 95]]",38808,0,225,"[124, 95, 231, 168]",17,151,0
151,"[[1, 21, 1, 81, 47, 81, 47, 21]]",2760,0,225,"[1, 21, 46, 60]",17,152,0
152,"[[91, 81, 91, 228, 314, 228, 314, 81]]",32781,0,228,"[91, 81, 223, 147]",1,153,0
153,"[[242, 254, 242, 375, 316, 375, 316, 254]]",8954,0,235,"[242, 254, 74, 121]",9,154,0
154,"[[135, 325, 135, 375, 271, 375, 271, 325]]",6800,0,235,"[135, 325, 136, 50]",9,155,1
155,"[[0, 290, 0, 374, 97, 374, 97, 290]]",8148,0,235,"[0, 290, 97, 84]",9,156,1
156,"[[401, 244, 401, 316, 455, 316, 455, 244]]",3888,0,235,"[401, 244, 54, 72]",9,157,1
157,"[[39, 265, 39, 375, 277, 375, 277, 265]]",26180,0,235,"[39, 265, 238, 110]",11,158,0
158,"[[414, 191, 414, 254, 457, 254, 457, 191]]",2709,0,235,"[414, 191, 43, 63]",18,159,0
159,"[[184, 166, 184, 236, 201, 236, 201, 166]]",1190,0,235,"[184, 166, 17, 70]",16,160,1
160,"[[2, 2, 2, 287, 499, 287, 499, 2]]",141645,0,242,"[2, 2, 497, 285]",8,161,0
161,"[[0, 169, 0, 375, 474, 375, 474, 169]]",97644,0,250,"[0, 169, 474, 206]",11,162,1
162,"[[96, 123, 96, 297, 150, 297, 150, 123]]",9396,0,250,"[96, 123, 54, 174]",5,163,0
163,"[[7, 95, 7, 232, 491, 232, 491, 95]]",66308,0,256,"[7, 95, 484, 137]",1,164,0
164,"[[170, 0, 170, 361, 499, 361, 499, 0]]",118769,0,259,"[170, 0, 329, 361]",15,165,0
165,"[[2, 0, 2, 264, 271, 264, 271, 0]]",71016,0,259,"[2, 0, 269, 264]",15,166,0
166,"[[342, 95, 342, 196, 500, 196, 500, 95]]",15958,0,262,"[342, 95, 158, 101]",7,167,0
167,"[[18, 223, 18, 323, 355, 323, 355, 223]]",33700,0,263,"[18, 223, 337, 100]",7,168,0
168,"[[0, 354, 0, 499, 69, 499, 69, 354]]",10005,0,263,"[0, 354, 69, 145]",7,169,1
169,"[[128, 162, 128, 319, 230, 319, 230, 162]]",16014,0,276,"[128, 162, 102, 157]",15,170,0
170,"[[161, 372, 161, 500, 260, 500, 260, 372]]",12672,0,276,"[161, 372, 99, 128]",15,171,0
171,"[[31, 372, 31, 500, 140, 500, 140, 372]]",13952,0,276,"[31, 372, 109, 128]",15,172,0
172,"[[293, 155, 293, 375, 500, 375, 500, 155]]",45540,0,278,"[293, 155, 207, 220]",12,173,0
173,"[[110, 88, 110, 375, 417, 375, 417, 88]]",88109,0,278,"[110, 88, 307, 287]",15,174,0
174,"[[334, 262, 334, 373, 484, 373, 484, 262]]",16650,0,282,"[334, 262, 150, 111]",9,175,1
175,"[[326, 103, 326, 300, 476, 300, 476, 103]]",29550,0,282,"[326, 103, 150, 197]",15,176,0
176,"[[231, 56, 231, 374, 357, 374, 357, 56]]",40068,0,282,"[231, 56, 126, 318]",15,177,0
177,"[[2, 31, 2, 374, 199, 374, 199, 31]]",67571,0,282,"[2, 31, 197, 343]",15,178,0
178,"[[57, 138, 57, 374, 296, 374, 296, 138]]",56404,0,282,"[57, 138, 239, 236]",15,179,0
179,"[[484, 173, 484, 280, 500, 280, 500, 173]]",1712,0,288,"[484, 173, 16, 107]",15,180,1
180,"[[442, 162, 442, 283, 479, 283, 479, 162]]",4477,0,288,"[442, 162, 37, 121]",15,181,0
181,"[[418, 152, 418, 240, 439, 240, 439, 152]]",1848,0,288,"[418, 152, 21, 88]",15,182,0
182,"[[439, 155, 439, 230, 450, 230, 450, 155]]",825,0,288,"[439, 155, 11, 75]",15,183,0
183,"[[411, 162, 411, 248, 430, 248, 430, 162]]",1634,0,288,"[411, 162, 19, 86]",15,184,0
184,"[[406, 193, 406, 251, 422, 251, 422, 193]]",928,0,288,"[406, 193, 16, 58]",15,185,0
185,"[[372, 156, 372, 266, 401, 266, 401, 156]]",3190,0,288,"[372, 156, 29, 110]",15,186,0
186,"[[329, 168, 329, 252, 380, 252, 380, 168]]",4284,0,288,"[329, 168, 51, 84]",15,187,0
187,"[[0, 152, 0, 305, 20, 305, 20, 152]]",3060,0,288,"[0, 152, 20, 153]",15,188,0
188,"[[0, 109, 0, 244, 33, 244, 33, 109]]",4455,0,288,"[0, 109, 33, 135]",15,189,0
189,"[[29, 141, 29, 205, 77, 205, 77, 141]]",3072,0,288,"[29, 141, 48, 64]",7,190,0
190,"[[66, 20, 66, 278, 382, 278, 382, 20]]",81528,0,288,"[66, 20, 316, 258]",6,191,0
191,"[[329, 10, 329, 368, 454, 368, 454, 10]]",44750,0,294,"[329, 10, 125, 358]",3,192,0
192,"[[54, 92, 54, 371, 167, 371, 167, 92]]",31527,0,294,"[54, 92, 113, 279]",3,193,0
193,"[[426, 124, 426, 181, 500, 181, 500, 124]]",4218,0,296,"[426, 124, 74, 57]",7,194,0
194,"[[43, 119, 43, 222, 459, 222, 459, 119]]",42848,0,296,"[43, 119, 416, 103]",4,195,0
195,"[[88, 31, 88, 72, 144, 72, 144, 31]]",2296,0,306,"[88, 31, 56, 41]",10,196,1
196,"[[113, 35, 113, 86, 182, 86, 182, 35]]",3519,0,306,"[113, 35, 69, 51]",10,197,0
197,"[[236, 45, 236, 87, 302, 87, 302, 45]]",2772,0,306,"[236, 45, 66, 42]",10,198,0
198,"[[302, 41, 302, 87, 380, 87, 380, 41]]",3588,0,306,"[302, 41, 78, 46]",10,199,0
199,"[[1, 2, 1, 375, 500, 375, 500, 2]]",186127,0,307,"[1, 2, 499, 373]",16,200,0
200,"[[0, 228, 0, 375, 40, 375, 40, 228]]",5880,0,307,"[0, 228, 40, 147]",16,201,0
201,"[[46, 41, 46, 354, 433, 354, 433, 41]]",121131,0,311,"[46, 41, 387, 313]",7,202,0
202,"[[2, 1, 2, 334, 500, 334, 500, 1]]",165834,0,312,"[2, 1, 498, 333]",19,203,0
203,"[[117, 150, 117, 221, 407, 221, 407, 150]]",20590,0,317,"[117, 150, 290, 71]",7,204,0
204,"[[304, 7, 304, 27, 337, 27, 337, 7]]",660,0,320,"[304, 7, 33, 20]",7,205,1
205,"[[271, 9, 271, 26, 304, 26, 304, 9]]",561,0,320,"[271, 9, 33, 17]",7,206,0
206,"[[227, 0, 227, 29, 273, 29, 273, 0]]",1334,0,320,"[227, 0, 46, 29]",7,207,0
207,"[[0, 77, 0, 500, 372, 500, 372, 77]]",157356,0,320,"[0, 77, 372, 423]",15,208,0
208,"[[99, 62, 99, 200, 500, 200, 500, 62]]",55338,0,325,"[99, 62, 401, 138]",1,209,0
209,"[[170, 233, 170, 482, 373, 482, 373, 233]]",50547,0,331,"[170, 233, 203, 249]",9,210,0
210,"[[60, 221, 60, 426, 138, 426, 138, 221]]",15990,0,331,"[60, 221, 78, 205]",9,211,0
211,"[[0, 365, 0, 500, 50, 500, 50, 365]]",6750,0,331,"[0, 365, 50, 135]",9,212,1
212,"[[148, 253, 148, 467, 358, 467, 358, 253]]",44940,0,331,"[148, 253, 210, 214]",15,213,0
213,"[[36, 109, 36, 178, 273, 178, 273, 109]]",16353,0,334,"[36, 109, 237, 69]",7,214,0
214,"[[75, 152, 75, 276, 160, 276, 160, 152]]",10540,0,337,"[75, 152, 85, 124]",2,215,0
215,"[[218, 175, 218, 374, 429, 374, 429, 175]]",41989,0,337,"[218, 175, 211, 199]",2,216,0
216,"[[28, 28, 28, 111, 68, 111, 68, 28]]",3320,0,337,"[28, 28, 40, 83]",15,217,0
217,"[[118, 3, 118, 53, 162, 53, 162, 3]]",2200,0,337,"[118, 3, 44, 50]",15,218,0
218,"[[112, 27, 112, 131, 167, 131, 167, 27]]",5720,0,337,"[112, 27, 55, 104]",15,219,0
219,"[[241, 16, 241, 103, 288, 103, 288, 16]]",4089,0,337,"[241, 16, 47, 87]",15,220,0
220,"[[67, 91, 67, 255, 165, 255, 165, 91]]",16072,0,337,"[67, 91, 98, 164]",15,221,0
221,"[[234, 29, 234, 362, 403, 362, 403, 29]]",56277,0,337,"[234, 29, 169, 333]",15,222,0
222,"[[175, 74, 175, 132, 231, 132, 231, 74]]",3248,0,337,"[175, 74, 56, 58]",15,223,0
223,"[[232, 87, 232, 157, 259, 157, 259, 87]]",1890,0,337,"[232, 87, 27, 70]",15,224,1
224,"[[88, 1, 88, 441, 307, 441, 307, 1]]",96360,0,344,"[88, 1, 219, 440]",5,225,0
225,"[[76, 1, 76, 348, 411, 348, 411, 1]]",116245,0,347,"[76, 1, 335, 347]",13,226,0
226,"[[158, 130, 158, 362, 413, 362, 413, 130]]",59160,0,349,"[158, 130, 255, 232]",11,227,0
227,"[[320, 125, 320, 363, 479, 363, 479, 125]]",37842,0,349,"[320, 125, 159, 238]",9,228,0
228,"[[283, 75, 283, 144, 360, 144, 360, 75]]",5313,0,349,"[283, 75, 77, 69]",9,229,0
229,"[[99, 90, 99, 298, 206, 298, 206, 90]]",22256,0,349,"[99, 90, 107, 208]",9,230,0
230,"[[166, 160, 166, 375, 326, 375, 326, 160]]",34400,0,349,"[166, 160, 160, 215]",9,231,0
231,"[[1, 1, 1, 131, 89, 131, 89, 1]]",11440,0,349,"[1, 1, 88, 130]",20,232,0
232,"[[21, 35, 21, 293, 427, 293, 427, 35]]",104748,0,355,"[21, 35, 406, 258]",7,233,0
233,"[[262, 265, 262, 479, 388, 479, 388, 265]]",26964,0,359,"[262, 265, 126, 214]",12,234,0
234,"[[24, 12, 24, 481, 288, 481, 288, 12]]",123816,0,359,"[24, 12, 264, 469]",15,235,0
235,"[[38, 83, 38, 426, 420, 426, 420, 83]]",131026,0,359,"[38, 83, 382, 343]",9,236,0
236,"[[226, 123, 226, 265, 271, 265, 271, 123]]",6390,0,367,"[226, 123, 45, 142]",5,237,0
237,"[[330, 121, 330, 354, 390, 354, 390, 121]]",13980,0,367,"[330, 121, 60, 233]",5,238,0
238,"[[393, 182, 393, 340, 422, 340, 422, 182]]",4582,0,367,"[393, 182, 29, 158]",5,239,0
239,"[[284, 124, 284, 340, 326, 340, 326, 124]]",9072,0,367,"[284, 124, 42, 216]",5,240,0
240,"[[429, 183, 429, 229, 500, 229, 500, 183]]",3266,0,367,"[429, 183, 71, 46]",7,241,0
241,"[[1, 254, 1, 375, 500, 375, 500, 254]]",60379,0,367,"[1, 254, 499, 121]",7,242,1
242,"[[173, 65, 173, 265, 295, 265, 295, 65]]",24400,0,367,"[173, 65, 122, 200]",15,243,0
243,"[[93, 103, 93, 256, 253, 256, 253, 103]]",24480,0,370,"[93, 103, 160, 153]",4,244,0
